Player,Runs,HS,Ave,Hundreds,Wkts,Ave,Five_fors,Ct
G Giffen (AUS),1238,161,23.35,1,103,27.09,7,24
MA Noble (AUS),1997,133,30.25,1,121,25,9,26
W Rhodes (ENG),2325,179,30.19,2,127,26.96,6,60
MW Tate (ENG),1198,100,25.48,1,155,26.16,7,11
IWG Johnson (AUS),1000,77,18.51,0,109,29.19,3,30
RR Lindwall (AUS),1502,118,21.15,2,228,23.03,12,26
KR Miller (AUS),2958,147,36.97,7,170,22.97,7,38
MH Mankad (IND),2109,231,31.47,5,162,32.32,8,33
TE Bailey (ENG),2290,134,29.74,1,132,29.21,5,32
R Benaud (AUS),2201,122,24.45,3,248,27.03,16,65
AK Davidson (AUS),1328,80,24.59,0,186,20.53,14,42
GS Sobers (WI),8032,365,57.78,26,235,34.03,6,109
TL Goddard (SA),2516,112,34.46,1,123,26.22,5,48
FJ Titmus (ENG),1449,84,22.29,0,153,32.22,7,35
R Illingworth (ENG),1836,113,23.24,2,122,31.2,3,45
Intikhab Alam (PAK),1493,138,22.28,1,125,35.95,5,20
Sarfraz Nawaz (PAK),1045,90,17.71,0,177,32.75,4,26
Imran Khan (PAK),3807,136,37.69,6,362,22.81,23,28
AW Greig (ENG),3599,148,40.43,8,141,32.2,6,87
Sir RJ Hadlee (NZ),3124,151,27.16,2,431,22.29,36,39
IT Botham (ENG),5200,208,33.54,14,383,28.4,27,120
Abdul Qadir (PAK),1029,61,15.59,0,236,32.8,15,15
JE Emburey (ENG),1713,75,22.53,0,147,38.4,6,34
N Kapil Dev (IND),5248,163,31.05,8,434,29.64,23,64
MD Marshall (WI),1810,92,18.85,0,376,20.94,22,25
JG Bracewell (NZ),1001,110,20.42,1,102,35.81,4,31
RJ Shastri (IND),3830,206,35.79,11,151,40.96,2,36
Wasim Akram (PAK),2898,257,22.64,3,414,23.62,25,44
MG Hughes (AUS),1032,72,16.64,0,212,28.38,7,23
CL Hooper (WI),5762,233,36.46,13,114,49.42,4,115
CEL Ambrose (WI),1439,53,12.4,0,405,20.99,22,18
Waqar Younis (PAK),1010,45,10.2,0,373,23.56,22,18
CL Cairns (NZ),3320,158,33.53,5,218,29.4,13,14
A Kumble (IND),2506,110,17.77,1,619,29.65,35,60
J Srinath (IND),1009,76,14.21,0,236,30.49,10,22
SK Warne (AUS),3154,99,17.32,0,708,25.41,37,125
M Muralidaran (ICC/SL),1261,67,11.67,0,800,22.72,67,72
HH Streak (ZIM),1990,127,22.35,1,216,28.14,7,17
WPUJC Vaas (SL),3089,100,24.32,1,355,29.58,12,31
SM Pollock (SA),3781,111,32.31,2,421,23.11,16,72
JH Kallis (ICC/SA),13289,224,55.37,45,292,32.65,5,200
JN Gillespie (AUS),1218,201,18.73,1,259,26.13,8,27
DL Vettori (ICC/NZ),4531,140,30,6,362,34.36,20,58
Harbhajan Singh (IND),2224,115,18.22,2,417,32.46,25,42
AF Giles (ENG),1421,59,20.89,0,143,40.6,5,33
A Flintoff (ENG/ICC),3845,167,31.77,5,226,32.78,3,52
HMRKB Herath (SL),1699,80,14.64,0,433,28.07,34,24
Abdul Razzaq (PAK),1946,134,28.61,3,100,36.94,1,15
B Lee (AUS),1451,64,20.15,0,310,30.81,10,23
N Boje (SA),1312,85,25.23,0,100,42.65,3,18
Z Khan (IND),1231,75,11.95,0,311,32.94,11,19
Mohammad Rafique (BAN),1059,111,18.57,1,100,40.76,7,7
JM Anderson (ENG),1291,81,9.22,0,672,26.15,32,101
IK Pathan (IND),1105,102,31.57,1,100,32.26,7,8
DW Steyn (SA),1251,76,13.59,0,439,22.95,26,26
Shakib Al Hasan (BAN),4251,217,39,5,225,31.32,19,26
MG Johnson (AUS),2065,123,22.2,1,313,28.4,12,27
SCJ Broad (ENG),3550,169,18.39,1,566,27.77,19,54
TG Southee (NZ),1855,77,16.13,0,347,28.99,14,69
PM Siddle (AUS),1164,51,14.73,0,221,30.66,8,19
GP Swann (ENG),1370,85,22.09,0,255,29.96,17,54
KAJ Roach (WI),1101,41,11.71,0,253,27.2,10,20
NM Lyon (AUS),1247,47,12.72,0,446,31.91,21,54
R Ashwin (IND),2931,124,26.88,5,442,24.13,30,31
VD Philander (SA),1779,74,24.04,0,224,22.32,13,17
MA Starc (AUS),1816,99,22.14,0,291,27.64,13,34
RA Jadeja (IND),2523,175,36.56,3,242,24.71,10,39
CR Woakes (ENG),1675,137,27.91,1,130,30.73,4,19
BA Stokes (ENG),5470,258,35.98,12,193,31.89,4,91
MDK Perera (SL),1303,95,18.88,0,161,35.9,8,19
MM Ali (ENG),2914,155,28.29,5,195,36.66,5,40
JO Holder (WI),2601,202,30.24,3,142,28.8,8,59
Mehidy Hasan Miraz (BAN),1089,103,18.77,1,135,34.15,8,22
KA Maharaj (SA),1032,84,15.87,0,154,30.61,9,14
